fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
8085,11.90769231,75,774,0.018848409,0.279767177,0.015443867,0.027957462,Major
8087,31.10714286,483.5,1306.5,0.025823055,0.285248131,0.013103775,0.050282083,Severe
8089,184.0294118,909.25,3128.5,0.051429001,0.188286809,0.034840561,0.111113168,Extreme
8091,909.125,1267.25,1818.25,0.002395073,0.002737226,0.002395073,0.10300983,Extreme
8093,11.56024096,74,959.5,0.035108579,0.488484718,0.025105465,0.039812733,Severe
8097,14.5625,90.75,1165,0.020574802,0.724175572,0.015810285,0.04246987,Severe
8101,8.768678161,106.25,1525.75,0.007091075,0.10584995,0.005364658,0.036347235,Major
8103,116.625,376.75,1399.5,0.001626738,0.002661934,0.001563118,0.041461191,Severe
8105,24.88333333,231.75,1119.75,0.054338823,0.481719279,0.038478955,0.054178441,Severe
8107,10.07692308,191.5,1703,0.015870097,0.152593114,0.011673628,0.045789299,Severe
8109,115.625,686.75,2543.75,0.039468151,0.185578231,0.028570723,0.08761485,Extreme
8111,147.375,587.5,884.25,0.082152231,0.169291339,0.082059595,0.07412344,Extreme
8117,17.63076923,123.25,2292,0.037300427,0.505274779,0.024762298,0.067908909,Extreme
8119,14.4537037,94.75,780.5,0.028992024,0.205347399,0.017717372,0.030301443,Major
8123,2.326171875,22.75,595.5,0.00741511,0.106544978,0.005996879,0.016069421,Minor
9001,2.690366972,55.25,586.5,0.004010743,0.056592106,0.002989011,0.014689272,Minor
9003,1.973684211,31.5,262.5,0.002836894,0.038452774,0.002111149,0.007068295,Minor
9005,3.758928571,48.25,631.5,0.006016774,0.136153338,0.003638298,0.017060795,Minor
9007,3.48630137,36.25,509,0.005208393,0.054778236,0.003670724,0.013108879,Minor
9009,2.263793103,28.5,328.25,0.003507692,0.037719086,0.002636445,0.008532576,Minor
9011,3.479508197,21.25,636.75,0.00627264,0.071924007,0.003911144,0.0157365,Minor
9013,4.899671053,43.75,744.75,0.00591924,0.135319485,0.003594658,0.019164621,Moderate
9015,4.894171779,42.25,797.75,0.005850467,0.088014306,0.003739097,0.019546193,Moderate
10001,8.95,45,358,0.010420722,0.069098848,0.007892772,0.012777264,Minor
10003,2.830645161,78.75,438.75,0.004469153,0.080348616,0.002922336,0.012791803,Minor
10005,3.52,18,176,0.003620177,0.031026767,0.002973329,0.005353641,Minor
11001,2.755747126,27.5,479.5,0.003806538,0.080717126,0.003068336,0.012210373,Minor
12001,3.233585859,147.5,640.25,0.011161929,0.632808909,0.006404092,0.027982297,Major
12003,8.884615385,88,1155,0.017573246,0.659449049,0.009241978,0.039092303,Severe
12005,2.652960526,60.5,403.25,0.006617696,0.078147325,0.005248738,0.012556721,Minor
12007,8.717821782,69.25,880.5,0.01734037,0.450290366,0.008414935,0.03023968,Major
12009,1.55033557,102,231,0.006065296,0.194061468,0.004362338,0.011422966,Minor
12011,0.687931034,29,199.5,0.001857679,0.011386413,0.001687783,0.005067475,Minor
12013,15.47077922,153,1191.25,0.024129602,0.349010131,0.016479862,0.040438873,Severe
12015,3.113729508,203.25,759.75,0.00938259,0.705757534,0.004857719,0.031964944,Major
12017,3.526960784,187,719.5,0.010539229,0.406367381,0.006015636,0.027280308,Major
12019,3.943502825,64.5,698,0.017467487,0.352129169,0.011736964,0.02579095,Moderate
